Date,High,Low,Close,Adj Close,Volume
2014-12-05,379.191986,365.756012,376.854004,376.854004,15181800.0
2017-12-02,11320.200195,10905.099609,11074.599609,11074.599609,5138500096.0
2016-12-09,774.528015,769.648987,772.794006,772.794006,68705296.0
2019-06-27,13311.144531,10491.852539,11182.806641,11182.806641,39977475223.0
2016-07-19,673.276978,667.632019,672.864014,672.864014,61203300.0
2020-06-03,9682.859375,9471.84668,9656.717773,9656.717773,25007459262.0
2019-12-05,7743.431641,7232.676758,7448.307617,7448.307617,18816085231.0
2014-11-13,457.092987,401.122986,420.734985,420.734985,58945000.0
2015-01-28,266.535004,227.046005,233.914993,233.914993,44352200.0
2017-10-31,6470.430176,6103.330078,6468.399902,6468.399902,2311379968.0
2017-04-07,1186.579956,1163.390015,1176.900024,1176.900024,317022016.0
2017-04-02,1107.589966,1075.449951,1102.170044,1102.170044,514187008.0
2016-12-18,794.737,788.026001,790.530029,790.530029,60524400.0
2018-08-19,6537.97998,6361.549805,6506.069824,6506.069824,3311170000.0
2020-03-16,5385.229492,4575.35791,5014.47998,5014.47998,45368026430.0
2018-11-26,4107.140137,3643.919922,3779.129883,3779.129883,6476900000.0
2018-01-13,14659.5,13952.400391,14360.200195,14360.200195,12763599872.0
2016-02-03,374.950012,368.045013,369.949005,369.949005,45933400.0
2021-02-02,35896.882813,33489.21875,35510.289063,35510.289063,63088585433.0
2015-08-30,232.067993,226.246994,228.761002,228.761002,19412600.0
2015-10-08,244.251007,242.179001,242.304001,242.304001,18515300.0
2017-07-07,2916.139893,2498.870117,2518.659912,2518.659912,917411968.0
2018-07-02,6683.859863,6305.700195,6614.180176,6614.180176,4396930048.0
2017-02-27,1181.97998,1163.380005,1179.969971,1179.969971,131570000.0
2016-12-23,925.117004,864.677002,921.984009,921.984009,275564000.0
2021-01-01,29600.626953,28803.585938,29374.152344,29374.152344,40730301359.0
2016-01-05,434.182007,429.675995,431.959991,431.959991,34522600.0
2019-04-27,5310.75,5233.635742,5268.291016,5268.291016,13111274675.0
2020-03-09,8177.793457,7690.098145,7923.644531,7923.644531,46936995808.0
2020-03-03,8901.598633,8704.990234,8787.786133,8787.786133,42386715821.0
2020-02-08,9876.749023,9678.910156,9865.119141,9865.119141,35172043762.0
2019-11-27,7619.693359,6974.174316,7531.663574,7531.663574,23991412764.0
2016-06-30,675.403015,636.607971,673.336975,673.336975,138980000.0
2015-03-08,277.858002,272.565002,274.354004,274.354004,22067900.0
2018-09-30,6643.779785,6566.540039,6625.560059,6625.560059,4002280000.0
2017-11-09,7446.830078,7101.52002,7143.580078,7143.580078,3226249984.0
2014-10-25,359.860992,342.877014,347.270996,347.270996,18127500.0
